ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,PromotionKey,CurrencyKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber,OrderDate,DueDate,ShipDate
310,20101229,20110110,20110105,21768,1,19,6,SO43697,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2010-12-29,2011-01-10,2011-01-05
346,20101229,20110110,20110105,28389,1,39,7,SO43698,1,1,1,3399.99,3399.99,0.0,0.0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2010-12-29,2011-01-10,2011-01-05
346,20101229,20110110,20110105,25863,1,100,1,SO43699,1,1,1,3399.99,3399.99,0.0,0.0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2010-12-29,2011-01-10,2011-01-05
336,20101229,20110110,20110105,14501,1,100,4,SO43700,1,1,1,699.0982,699.0982,0.0,0.0,413.1463,413.1463,699.0982,55.9279,17.4775,,,2010-12-29,2011-01-10,2011-01-05
346,20101229,20110110,20110105,11003,1,6,9,SO43701,1,1,1,3399.99,3399.99,0.0,0.0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2010-12-29,2011-01-10,2011-01-05
311,20101230,20110111,20110106,27645,1,100,4,SO43702,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2010-12-30,2011-01-11,2011-01-06
310,20101230,20110111,20110106,16624,1,6,9,SO43703,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2010-12-30,2011-01-11,2011-01-06
351,20101230,20110111,20110106,11005,1,6,9,SO43704,1,1,1,3374.99,3374.99,0.0,0.0,1898.0944,1898.0944,3374.99,269.9992,84.3748,,,2010-12-30,2011-01-11,2011-01-06
344,20101230,20110111,20110106,11011,1,6,9,SO43705,1,1,1,3399.99,3399.99,0.0,0.0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2010-12-30,2011-01-11,2011-01-06
312,20101231,20110112,20110107,27621,1,100,4,SO43706,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2010-12-31,2011-01-12,2011-01-07
312,20101231,20110112,20110107,27616,1,100,4,SO43707,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2010-12-31,2011-01-12,2011-01-07
330,20101231,20110112,20110107,20042,1,98,10,SO43708,1,1,1,699.0982,699.0982,0.0,0.0,413.1463,413.1463,699.0982,55.9279,17.4775,,,2010-12-31,2011-01-12,2011-01-07
313,20101231,20110112,20110107,16351,1,6,9,SO43709,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2010-12-31,2011-01-12,2011-01-07
314,20101231,20110112,20110107,16517,1,6,9,SO43710,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2010-12-31,2011-01-12,2011-01-07
314,20110101,20110113,20110108,27606,1,100,1,SO43711,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-01,2011-01-13,2011-01-08
311,20110101,20110113,20110108,13513,1,29,8,SO43712,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-01,2011-01-13,2011-01-08
310,20110102,20110114,20110109,27601,1,100,4,SO43713,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-02,2011-01-14,2011-01-09
311,20110102,20110114,20110109,13591,1,98,10,SO43714,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-02,2011-01-14,2011-01-09
314,20110102,20110114,20110109,16483,1,6,9,SO43715,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-02,2011-01-14,2011-01-09
311,20110102,20110114,20110109,16529,1,6,9,SO43716,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-02,2011-01-14,2011-01-09
336,20110102,20110114,20110109,25249,1,6,9,SO43717,1,1,1,699.0982,699.0982,0.0,0.0,413.1463,413.1463,699.0982,55.9279,17.4775,,,2011-01-02,2011-01-14,2011-01-09
311,20110103,20110115,20110110,27668,1,100,1,SO43718,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-03,2011-01-15,2011-01-10
312,20110103,20110115,20110110,27612,1,100,4,SO43719,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-03,2011-01-15,2011-01-10
311,20110103,20110115,20110110,13264,1,29,8,SO43720,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-03,2011-01-15,2011-01-10
310,20110103,20110115,20110110,13590,1,98,10,SO43721,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-03,2011-01-15,2011-01-10
312,20110104,20110116,20110111,13581,1,98,10,SO43722,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-04,2011-01-16,2011-01-11
332,20110104,20110116,20110111,14520,1,100,1,SO43723,1,1,1,699.0982,699.0982,0.0,0.0,413.1463,413.1463,699.0982,55.9279,17.4775,,,2011-01-04,2011-01-16,2011-01-11
311,20110104,20110116,20110111,16520,1,6,9,SO43724,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-04,2011-01-16,2011-01-11
311,20110105,20110117,20110112,13258,1,29,8,SO43725,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-05,2011-01-17,2011-01-12
332,20110105,20110117,20110112,14560,1,100,4,SO43726,1,1,1,699.0982,699.0982,0.0,0.0,413.1463,413.1463,699.0982,55.9279,17.4775,,,2011-01-05,2011-01-17,2011-01-12
311,20110105,20110117,20110112,16607,1,6,9,SO43727,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-05,2011-01-17,2011-01-12
313,20110106,20110118,20110113,27666,1,100,4,SO43728,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-06,2011-01-18,2011-01-13
346,20110106,20110118,20110113,11238,1,98,10,SO43729,1,1,1,3399.99,3399.99,0.0,0.0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2011-01-06,2011-01-18,2011-01-13
346,20110106,20110118,20110113,25861,1,100,4,SO43730,1,1,1,3399.99,3399.99,0.0,0.0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2011-01-06,2011-01-18,2011-01-13
314,20110106,20110118,20110113,16629,1,6,9,SO43731,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-06,2011-01-18,2011-01-13
350,20110106,20110118,20110113,11025,1,6,9,SO43732,1,1,1,3374.99,3374.99,0.0,0.0,1898.0944,1898.0944,3374.99,269.9992,84.3748,,,2011-01-06,2011-01-18,2011-01-13
312,20110106,20110118,20110113,27577,1,100,1,SO43733,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-06,2011-01-18,2011-01-13
312,20110107,20110119,20110114,27604,1,100,1,SO43734,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-07,2011-01-19,2011-01-14
310,20110107,20110119,20110114,16522,1,6,9,SO43735,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-07,2011-01-19,2011-01-14
346,20110107,20110119,20110114,11002,1,6,9,SO43736,1,1,1,3399.99,3399.99,0.0,0.0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2011-01-07,2011-01-19,2011-01-14
311,20110108,20110120,20110115,13261,1,29,8,SO43737,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-08,2011-01-20,2011-01-15
312,20110108,20110120,20110115,11606,1,39,7,SO43738,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-08,2011-01-20,2011-01-15
310,20110108,20110120,20110115,13563,1,98,10,SO43739,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-08,2011-01-20,2011-01-15
312,20110108,20110120,20110115,16527,1,6,9,SO43740,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-08,2011-01-20,2011-01-15
310,20110109,20110121,20110116,27671,1,100,1,SO43741,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-09,2011-01-21,2011-01-16
314,20110109,20110121,20110116,13576,1,98,10,SO43742,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-09,2011-01-21,2011-01-16
347,20110109,20110121,20110116,11007,1,6,9,SO43743,1,1,1,3399.99,3399.99,0.0,0.0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2011-01-09,2011-01-21,2011-01-16
313,20110109,20110121,20110116,16631,1,6,9,SO43744,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-09,2011-01-21,2011-01-16
311,20110110,20110122,20110117,16514,1,6,9,SO43745,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-10,2011-01-22,2011-01-17
312,20110110,20110122,20110117,16616,1,6,9,SO43746,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-10,2011-01-22,2011-01-17
314,20110111,20110123,20110118,27623,1,100,4,SO43747,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-11,2011-01-23,2011-01-18
313,20110111,20110123,20110118,27625,1,100,1,SO43748,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-11,2011-01-23,2011-01-18
314,20110111,20110123,20110118,27636,1,100,1,SO43749,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-11,2011-01-23,2011-01-18
311,20110111,20110123,20110118,11591,1,39,7,SO43750,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-11,2011-01-23,2011-01-18
313,20110111,20110123,20110118,11592,1,39,7,SO43751,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-11,2011-01-23,2011-01-18
311,20110111,20110123,20110118,13265,1,29,8,SO43752,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-11,2011-01-23,2011-01-18
310,20110111,20110123,20110118,16482,1,6,9,SO43753,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-11,2011-01-23,2011-01-18
312,20110112,20110124,20110119,27617,1,100,1,SO43754,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-12,2011-01-24,2011-01-19
311,20110112,20110124,20110119,27670,1,100,4,SO43755,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-12,2011-01-24,2011-01-19
332,20110112,20110124,20110119,19941,1,98,10,SO43756,1,1,1,699.0982,699.0982,0.0,0.0,413.1463,413.1463,699.0982,55.9279,17.4775,,,2011-01-12,2011-01-24,2011-01-19
350,20110112,20110124,20110119,11017,1,6,9,SO43757,1,1,1,3374.99,3374.99,0.0,0.0,1898.0944,1898.0944,3374.99,269.9992,84.3748,,,2011-01-12,2011-01-24,2011-01-19
310,20110113,20110125,20110120,27646,1,100,4,SO43758,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-13,2011-01-25,2011-01-20
310,20110113,20110125,20110120,13257,1,29,8,SO43759,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-13,2011-01-25,2011-01-20
314,20110113,20110125,20110120,16352,1,6,9,SO43760,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-13,2011-01-25,2011-01-20
310,20110113,20110125,20110120,16493,1,6,9,SO43761,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-13,2011-01-25,2011-01-20
314,20110114,20110126,20110121,27578,1,100,4,SO43762,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-14,2011-01-26,2011-01-21
313,20110114,20110126,20110121,16525,1,6,9,SO43763,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-14,2011-01-26,2011-01-21
310,20110114,20110126,20110121,16612,1,6,9,SO43764,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-14,2011-01-26,2011-01-21
346,20110114,20110126,20110121,11010,1,6,9,SO43765,1,1,1,3399.99,3399.99,0.0,0.0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2011-01-14,2011-01-26,2011-01-21
313,20110115,20110127,20110122,16518,1,6,9,SO43766,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-15,2011-01-27,2011-01-22
350,20110115,20110127,20110122,11001,1,6,9,SO43767,1,1,1,3374.99,3374.99,0.0,0.0,1898.0944,1898.0944,3374.99,269.9992,84.3748,,,2011-01-15,2011-01-27,2011-01-22
312,20110116,20110128,20110123,27649,1,100,1,SO43768,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-16,2011-01-28,2011-01-23
312,20110116,20110128,20110123,21659,1,19,6,SO43769,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-16,2011-01-28,2011-01-23
312,20110116,20110128,20110123,27614,1,100,1,SO43770,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-16,2011-01-28,2011-01-23
330,20110116,20110128,20110123,14559,1,100,4,SO43771,1,1,1,699.0982,699.0982,0.0,0.0,413.1463,413.1463,699.0982,55.9279,17.4775,,,2011-01-16,2011-01-28,2011-01-23
312,20110116,20110128,20110123,16524,1,6,9,SO43772,1,1,1,3578.27,3578.27,0.0,0.0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-16,2011-01-28,2011-01-23
