Date,Holiday
2005-01-01,New Year's Day
2005-07-04,Independence Day
2005-11-24,Thanksgiving
2006-01-01,New Year's Day
2006-07-04,Independence Day
2006-11-23,Thanksgiving
2007-01-01,New Year's Day
2007-07-04,Independence Day
2007-11-22,Thanksgiving
2008-01-01,New Year's Day
2008-07-04,Independence Day
2008-11-27,Thanksgiving
2009-01-01,New Year's Day
2009-07-04,Independence Day
2009-11-26,Thanksgiving
2010-01-01,New Year's Day
2010-07-04,Independence Day
2010-11-25,Thanksgiving
2011-01-01,New Year's Day
2011-07-04,Independence Day
2011-11-24,Thanksgiving
2012-01-01,New Year's Day
2012-07-04,Independence Day
2012-11-22,Thanksgiving
2013-01-01,New Year's Day
2013-07-04,Independence Day
2013-11-28,Thanksgiving
2014-01-01,New Year's Day
2014-07-04,Independence Day
2014-11-27,Thanksgiving
